player,tourney,date,elo,surface,year,month,day
Dominic Thiem,Vienna,2014.10.13,1362.9685656224374,Hard,2014,10.0,13.0
Dominic Thiem,Basel,2014.10.20,1349.727141232963,Hard,2014,10.0,20.0
Dominic Thiem,ATP Masters 1000 Paris,2014.10.27,1362.204547278741,Hard,2014,10.0,27.0
Dominic Thiem,Auckland,2015.01.12,1336.4396174516648,Hard,2015,1.0,12.0
Dominic Thiem,Australian Open,2015.01.19,1324.4904793017322,Hard,2015,1.0,19.0
Dominic Thiem,Rotterdam,2015.02.09,1321.3791855146742,Hard,2015,2.0,9.0
Dominic Thiem,Marseille,2015.02.16,1352.440824569952,Hard,2015,2.0,16.0
Dominic Thiem,Dubai,2015.02.23,1339.0470052534681,Hard,2015,2.0,23.0
Dominic Thiem,ATP Masters 1000 Indian Wells,2015.03.12,1312.8038598682715,Hard,2015,3.0,12.0
Dominic Thiem,ATP Masters 1000 Miami,2015.03.25,1397.0874317646121,Hard,2015,3.0,25.0
Dominic Thiem,ATP Masters 1000 Monte Carlo,2015.04.12,1367.2772026777636,Clay,2015,4.0,12.0
Dominic Thiem,Barcelona,2015.04.20,1340.1995538677586,Clay,2015,4.0,20.0
Dominic Thiem,Munich,2015.04.27,1353.0466564485928,Clay,2015,4.0,27.0
Dominic Thiem,ATP Masters 1000 Rome,2015.05.10,1394.5958100482785,Clay,2015,5.0,10.0
Dominic Thiem,Nice,2015.05.17,1481.8283615887603,Clay,2015,5.0,17.0
Dominic Thiem,Roland Garros,2015.05.24,1466.772698851407,Clay,2015,5.0,24.0
Dominic Thiem,Stuttgart,2015.06.08,1435.7432870728949,Grass,2015,6.0,8.0
Dominic Thiem,Halle,2015.06.15,1429.56507361251,Grass,2015,6.0,15.0
Dominic Thiem,Nottingham,2015.06.21,1415.835163623701,Grass,2015,6.0,21.0
Dominic Thiem,Wimbledon,2015.06.29,1408.6977583359112,Grass,2015,6.0,29.0
Dominic Thiem,Umag,2015.07.20,1473.0642883731625,Clay,2015,7.0,20.0
Dominic Thiem,Gstaad,2015.07.27,1521.166266769131,Clay,2015,7.0,27.0
Dominic Thiem,Kitzbühel,2015.08.03,1508.8443751953573,Clay,2015,8.0,3.0
Dominic Thiem,ATP Masters 1000 Canada,2015.08.10,1476.7927691405403,Hard,2015,8.0,10.0
Dominic Thiem,ATP Masters 1000 Cincinnati,2015.08.16,1446.5975996855425,Hard,2015,8.0,16.0
Dominic Thiem,US Open,2015.08.31,1454.1058114131245,Hard,2015,8.0,31.0
Dominic Thiem,St. Petersburg,2015.09.21,1452.007767334274,Hard,2015,9.0,21.0
Dominic Thiem,Beijing,2015.10.05,1436.6865823573514,Hard,2015,10.0,5.0
Dominic Thiem,ATP Masters 1000 Shanghai,2015.10.11,1435.6747024920844,Hard,2015,10.0,11.0
Dominic Thiem,Vienna,2015.10.19,1408.8973677663812,Hard,2015,10.0,19.0
Dominic Thiem,Basel,2015.10.26,1414.823047565639,Hard,2015,10.0,26.0
Dominic Thiem,ATP Masters 1000 Paris,2015.11.02,1416.3269073713816,Hard,2015,11.0,2.0
Dominic Thiem,Brisbane,2016.01.04,1461.2047300974289,Hard,2016,1.0,4.0
Dominic Thiem,Sydney,2016.01.11,1438.8472860221982,Hard,2016,1.0,11.0
Dominic Thiem,Australian Open,2016.01.18,1448.4041069923444,Hard,2016,1.0,18.0
Dominic Thiem,Buenos Aires,2016.02.08,1521.8818711430386,Clay,2016,2.0,8.0
Dominic Thiem,Rio de Janeiro,2016.02.15,1525.473250824458,Clay,2016,2.0,15.0
Dominic Thiem,Acapulco,2016.02.22,1587.9169418803574,Hard,2016,2.0,22.0
Dominic Thiem,ATP Masters 1000 Indian Wells,2016.03.10,1584.6810687598806,Hard,2016,3.0,10.0
